Algoritma,Run,ResponseTime,Throughput
WeightedRR,1,1.572,3180.59
WeightedRR,2,1.613,3098.90
WeightedRR,3,1.614,3098.03
WeightedRR,4,1.526,3275.55
WeightedRR,5,1.547,3231.86
WeightedRR,6,1.951,2562.78
WeightedRR,7,1.597,3130.62
WeightedRR,8,1.548,3230.72
WeightedRR,9,2.183,2290.22
WeightedRR,10,1.652,3026.99
WeightedRR,11,1.580,3164.05
WeightedRR,12,1.530,3267.28
WeightedRR,13,1.504,3324.99
WeightedRR,14,1.404,3562.27
WeightedRR,15,1.535,3256.90
WeightedRR,16,1.501,3330.82
WeightedRR,17,1.639,3049.77
WeightedRR,18,1.573,3178.71
WeightedRR,19,1.752,2853.14
WeightedRR,20,1.615,3096.75
WeightedRR,21,1.794,2786.73
WeightedRR,22,1.627,3073.66
WeightedRR,23,1.802,2774.38
WeightedRR,24,1.424,3512.33
WeightedRR,25,1.653,3025.36
WeightedRR,26,1.706,2930.02
WeightedRR,27,1.642,3045.44
WeightedRR,28,1.535,3257.74
WeightedRR,29,1.869,2675.60
WeightedRR,30,1.515,3299.89
WeightedRR,31,1.935,2584.63
WeightedRR,32,1.509,3313.17
WeightedRR,33,1.677,2981.20
WeightedRR,34,1.356,3688.08
WeightedRR,35,1.725,2899.18
WeightedRR,36,1.491,3352.36
WeightedRR,37,1.561,3202.98
WeightedRR,38,1.604,3117.00
WeightedRR,39,1.761,2839.45
WeightedRR,40,1.580,3163.99
WeightedRR,41,1.689,2959.60
WeightedRR,42,1.532,3263.35
WeightedRR,43,1.653,3024.68
WeightedRR,44,1.448,3454.09
WeightedRR,45,1.812,2760.04
WeightedRR,46,1.816,2752.99
WeightedRR,47,1.679,2978.48
WeightedRR,48,1.516,3298.06
WeightedRR,49,1.831,2731.34
WeightedRR,50,1.507,3318.28
WeightedRR,51,1.613,3099.71
WeightedRR,52,1.536,3255.12
WeightedRR,53,1.600,3125.32
WeightedRR,54,1.919,2605.05
WeightedRR,55,1.716,2913.26
WeightedRR,56,1.606,3112.99
WeightedRR,57,1.675,2985.24
WeightedRR,58,1.585,3155.30
WeightedRR,59,1.558,3209.36
WeightedRR,60,1.643,3043.66
WeightedRR,61,1.796,2784.48
WeightedRR,62,1.626,3074.31
WeightedRR,63,1.578,3169.40
WeightedRR,64,1.437,3479.00
WeightedRR,65,2.079,2405.52
WeightedRR,66,1.664,3004.31
WeightedRR,67,1.490,3355.18
WeightedRR,68,1.461,3421.63
WeightedRR,69,1.524,3281.65
WeightedRR,70,1.698,2945.47
WeightedRR,71,1.637,3054.44
WeightedRR,72,1.483,3371.01
WeightedRR,73,2.340,2136.35
WeightedRR,74,1.698,2945.25
WeightedRR,75,1.457,3430.54
WeightedRR,76,1.710,2923.37
WeightedRR,77,1.722,2903.42
WeightedRR,78,1.637,3054.02
WeightedRR,79,1.621,3084.55
WeightedRR,80,1.546,3233.59
WeightedRR,81,1.720,2907.80
WeightedRR,82,1.432,3492.61
WeightedRR,83,1.558,3208.39
WeightedRR,84,1.550,3225.46
WeightedRR,85,1.812,2759.84
WeightedRR,86,1.571,3183.69
WeightedRR,87,1.633,3061.91
WeightedRR,88,1.460,3424.66
WeightedRR,89,1.827,2737.01
WeightedRR,90,1.649,3032.25
WeightedRR,91,2.032,2460.18
WeightedRR,92,1.618,3089.94
WeightedRR,93,1.540,3245.91
WeightedRR,94,1.450,3448.49
WeightedRR,95,1.506,3320.54
WeightedRR,96,1.526,3275.95
WeightedRR,97,1.739,2875.48
WeightedRR,98,2.035,2456.63
WeightedRR,99,1.849,2704.16
WeightedRR,100,1.488,3359.11
